id,term,category,weight
532,midnight,292,375
533,hosting,292,91
534,edition,292,126
535,spinning,292,251
536,tonite,292,523
537,booth,292,110
538,parties,292,148
539,ave,292,135
540,tuesdays,292,83
541,event,292,561
542,monroe,292,54
543,drinks,292,1855
544,presents,292,313
545,provided,292,37
546,bottles,292,144
547,guest,292,686
548,entertainment,292,358
549,vibes,292,42
550,virtual,292,31
551,crew,292,182
552,lounge,292,1246
553,mix,292,246
554,models,292,39
555,ink,292,74
556,details,292,142
557,rockin,292,145
558,party,292,4905
559,hottest,292,331
560,champagne,292,74
561,pm,292,1448
562,entrance,292,48
563,latin,292,126
564,dj,292,5374
565,cocktail,292,92
566,tables,292,113
567,club,292,2162
568,drink,292,1278
569,free,292,4734
570,downtown,292,205
571,tunes,292,95
572,host,292,167
573,fridays,292,96
574,beers,292,130
575,wednesdays,292,81
576,clubs,292,79
577,suite,292,209
578,feb,292,120
579,8p,292,219
580,spin,292,111
581,karaoke,292,94
582,bash,292,437
583,underground,292,47
584,bar,292,932
585,mc,292,196
586,launch,292,154
587,industry,292,52
588,performing,292,85
589,cover,292,529
590,vip,292,691
591,newest,292,50
592,element,292,38
593,funky,292,101
594,hype,292,132
595,entry,292,577
596,located,292,31
597,buddha,292,32
598,groove,292,156
599,beautiful,293,2070
600,giggles,293,110
601,constantly,293,1145
602,tasted,293,47
603,blown,293,146
604,seas,293,71
605,kisses,293,4932
606,showers,293,83
607,tells,293,318
608,lie,293,728
609,cares,293,908
610,holds,293,990
611,thinks,293,1513
612,forehead,293,703
613,stars,293,487
614,hugs,293,4793
615,smiles,293,286
616,hug,293,416
617,makeup,293,468
618,hang,293,1577
619,lucky,293,1202
620,rug,293,60
621,reminds,293,233
622,awake,293,731
623,front,293,770
624,sending,293,223
625,calls,293,2505
626,turns,293,1109
627,reminding,293,772
628,heartbeat,293,400
629,guy,293,2243
630,summer,290,2121
631,ac,290,2146
632,outdoor,290,103
633,hotter,290,936
634,burning,290,284
635,heater,290,252
636,colder,290,129
637,vent,290,36
638,sticky,290,129
639,stroke,290,470
640,weather,290,2864
641,warmer,290,166
642,forecast,290,64
643,oven,290,121
644,humid,290,692
645,cold,290,2525
646,humidity,290,1247
647,unit,290,231
648,sweating,290,903
649,index,290,336
650,hott,290,159
651,temperature,290,1695
652,complaining,290,184
653,melted,290,52
654,melt,290,238
655,sweaty,290,128
656,tropical,290,79
657,hot,290,8846
658,dropping,290,120
659,degrees,290,7134
660,electricity,290,78
661,hottest,290,233
662,arizona,290,149
663,degree,290,1765
664,summers,290,155
665,freezing,290,714
666,reads,290,62
667,wave,290,1281
668,boiling,290,83
669,heat,290,12011
670,bullets,290,39
671,conditioning,290,65
672,alaska,290,61
673,rises,290,46
674,desert,290,161
675,cool,290,1472
676,dry,290,250
677,melting,290,406
678,mild,290,64
679,central,290,158
680,temp,290,1121
681,cooler,290,701
682,heating,290,156
683,air,290,908
684,chilly,290,89
685,breeze,290,189
686,sweat,290,854
687,shade,290,179
688,phoenix,290,79
689,rising,290,78
690,minus,290,192
691,pound,291,90
692,booty,291,1619
693,bump,291,122
694,move,291,1549
695,bounce,291,122
696,twist,291,200
697,bend,291,506
698,fist,291,1192
699,shake,291,11840
700,bake,291,283
701,sweating,291,64
702,knees,291,491
703,movin,291,184
704,proceed,291,87
705,floor,291,513
706,thang,291,116
707,bust,291,140
708,earthquake,291,258
709,tail,291,87
710,lemme,291,94
711,rockin,291,204
712,earthquakes,291,123
713,core,291,110
714,shakes,291,1346
715,loose,291,415
716,hands,291,2187
717,wipe,291,249
718,funk,291,132
719,ghetto,291,96
720,powder,291,82
721,waist,291,56
722,shove,291,194
723,groove,291,182
724,drop,291,670
725,salt,291,136
726,push,291,276
727,steak,291,1069
728,shaking,291,1810
729,hips,291,318
730,shook,291,332
731,wrongs,270,446
732,refuse,270,594
733,necessarily,270,595
734,option,270,4604
735,make,270,24338
736,priorities,270,50
737,priority,270,2519
738,resort,270,48
739,allowing,270,834
740,personally,270,162
741,happiest,270,913
742,options,270,247
743,treats,270,144
744,humid,271,541
745,mug,271,216
746,rod,271,261
747,sticky,271,285
748,topic,271,1002
749,springs,271,572
750,drinking,271,713
751,sledding,271,73
752,sweating,271,126
753,hot,271,41450
754,sweaty,271,569
755,icy,271,258
756,peppers,271,619
757,hotter,271,114
758,chili,271,777
759,dogs,271,1419
760,pepper,271,133
761,spicy,271,151
762,melting,271,75
763,mess,271,1145
764,chocolate,271,5078
765,pocket,271,366
766,boiling,271,87
767,bun,271,62
768,smokin,271,94
769,tub,271,704
770,sipping,271,82
771,hottest,271,94
772,cocoa,271,1525
773,chilli,271,505
774,sauce,271,505
775,cider,271,40
776,melted,271,151
777,pockets,271,349
778,coco,271,903
779,pursuit,271,94
780,^.^,272,99
781,ftw,272,223
782,>:d,272,474
783,:d,272,42606
784,dd,272,3990
785,logged,272,128
786,woooooo,272,121
787,8d,272,330
788,rofl,272,102
789,yayy,272,175
790,yayyyy,272,184
791,yaaay,272,162
792,d:,272,389
793,;d,272,1706
794,yayyy,272,218
795,yess,272,57
796,woooo,272,103
797,ddd,272,1486
798,atmosphere,273,53
799,mexican,273,3052
800,chinese,273,9086
801,sushi,273,616
802,japanese,273,1282
803,dish,273,83
804,foods,273,154
805,mmmmm,273,139
806,asian,273,1231
807,delicious,273,558
808,mmmmmm,273,103
809,ordered,273,357
810,cafe,273,396
811,tables,273,81
812,yummy,273,735
813,variety,273,36
814,ordering,273,212
815,menu,273,339
816,tip,273,138
817,eatin,273,103
818,craving,273,385
819,yummm,273,86
820,dining,273,84
821,indian,273,1298
822,pad,273,237
823,stuffed,273,194
824,plates,273,134
825,korean,273,675
826,server,273,48
827,yumm,273,80
828,plate,273,132
829,spicy,273,110
830,eating,273,1688
831,delivered,273,59
832,food,273,16771
833,dessert,273,128
834,serve,273,165
835,buffet,273,1169
836,mmmm,273,245
837,lunch,273,1425
838,china,273,782
839,poisoning,273,46
840,proverb,273,262
841,thai,273,1674
842,eat,273,2350
843,tasty,273,89
844,delivery,273,112
845,grill,273,132
846,ate,273,1415
847,joint,273,47
848,restaurant,273,3796
849,vegetarian,273,75
850,tokyo,273,39
851,feast,273,99
852,order,273,543
853,traditional,273,251
854,greek,273,250
855,dinner,273,2679
856,served,273,145
857,margaritas,273,159
858,meal,273,521
859,italian,273,1101
860,heavy,274,487
861,lbs,274,3698
862,pound,274,1046
863,weight,274,11062
864,fitness,274,80
865,shed,274,146
866,height,274,242
867,pregnancy,274,65
868,shape,274,210
869,mirror,274,295
870,loosing,274,315
871,total,274,752
872,fastest,274,44
873,size,274,271
874,information,274,338
875,scale,274,774
876,heads,274,415
877,goal,274,815
878,tip,274,179
879,outlook,274,70
880,ideal,274,82
881,tips,274,109
882,weekly,274,71
883,smart,274,422
884,educated,274,269
885,offered,274,87
886,loose,274,1578
887,fat,274,1270
888,wisdom,274,388
889,grief,274,310
890,unwanted,274,43
891,diet,274,1479
892,lighter,274,330
893,losing,274,1500
894,beginning,274,477
895,stepped,274,83
896,lifting,274,92
897,gained,274,2612
898,loss,274,2301
899,waist,274,140
900,lost,274,7614
901,pounds,274,5212
902,healthy,274,383
903,calories,274,136
904,jogging,274,74
905,maintain,274,101
906,exercise,274,682
907,lose,274,8047
908,weigh,274,967
909,skinny,274,189
910,muscle,274,345
911,bodies,274,319
912,gain,274,4618
913,concept,275,95
914,wasnt,275,466
915,idea,275,23978
916,invent,275,28
917,clever,275,73
918,sounds,275,1169
919,imagined,275,39
920,noooo,275,73
921,nooo,275,85
922,genius,275,129
923,forgets,275,60
924,it'd,275,62
925,good,275,12748
926,smartest,275,67
927,brightest,275,80
928,cities,275,75
929,brilliant,275,970
930,thought,275,1817
931,wasn't,275,727
932,bad,275,8236
933,decided,275,1093
934,realizes,275,50
935,sounded,275,216
936,great,276,19732
937,extended,276,55
938,fabulous,276,193
939,family,276,10654
940,visiting,276,1122
941,spending,276,668
942,friends,276,10704
943,hanging,276,478
944,spent,276,1340
945,tp,276,47
946,reunion,276,333
947,wonderful,276,3312
948,catching,276,604
949,time,276,10516
950,fam,276,315
951,weekend,276,9012
952,spend,276,1677
953,peace,277,1094
954,inspire,277,84
955,essence,277,84
956,valuable,277,65
957,highest,277,131
958,spite,277,216
959,acknowledge,277,84
960,situations,277,346
961,guidance,277,213
962,troubles,277,604
963,opportunities,277,283
964,spirit,277,489
965,source,277,167
966,helps,277,217
967,corinthians,277,94
968,suffered,277,58
969,troubled,277,123
970,joyful,277,87
971,overcome,277,2372
972,greater,277,827
973,dignity,277,36
974,compassion,277,76
975,weakness,277,794
976,courage,277,1512
977,conquer,277,156
978,wiser,277,45
979,encounter,277,237
980,strive,277,75
981,reveal,277,56
982,experiencing,277,82
983,facing,277,756
984,continue,277,484
985,victory,277,590
986,triumph,277,95
987,discover,277,134
988,challenges,277,1833
989,strongest,277,94
990,growth,277,156
991,perspective,277,83
992,divine,277,113
993,awaits,277,75
994,possibilities,277,82
995,accomplish,277,125
996,capacity,277,69
997,temptation,277,83
998,encourage,277,156
999,difficulties,277,745
1000,ability,277,333
1001,power,277,1119
1002,continuing,277,101
1003,eternal,277,182
1004,rely,277,117
1005,understanding,277,256
1006,difficulty,277,203
1007,healing,277,139
1008,path,277,339
1009,strong,277,1776
1010,inevitable,277,55
1011,improve,277,93
1012,thrown,277,129
1013,faith,277,2012
1014,limits,277,89
1015,surrender,277,729
1016,trial,277,322
1017,despair,277,340
1018,disappointment,277,152
1019,defeat,277,376
1020,efforts,277,79
1021,throws,277,95
1022,struggle,277,1002
1023,danger,277,97
1024,storms,277,105
1025,sorrows,277,224
1026,patience,277,547
1027,crisis,277,74
1028,confidence,277,310
1029,capable,277,110
1030,remains,277,97
1031,meaningful,277,69
1032,heights,277,55
1033,wrongs,277,77
1034,confident,277,87
1035,doubt,277,336
1036,pains,277,125
1037,greatness,277,99
1038,survive,277,284
1039,injury,277,64
1040,god's,277,703
1041,define,277,100
1042,firm,277,104
1043,faced,277,432
1044,cope,277,120
1045,wisdom,277,457
1046,grief,277,107
1047,tested,277,158
1048,determination,277,197
1049,gain,277,436
1050,doubts,277,136
1051,midst,277,269
1052,overwhelming,277,131
1053,grace,277,363
1054,circumstances,277,333
1055,rejection,277,30
1056,challenge,277,675
1057,endure,277,1040
1058,situation,277,473
1059,possess,277,66
1060,outcome,277,89
1061,guide,277,240
1062,love's,277,47
1063,gather,277,116
1064,challenging,277,178
1065,trusting,277,54
1066,encouragement,277,85
1067,embrace,277,270
1068,prosperity,277,76
1069,strength,277,5197
1070,develop,277,435
1071,provide,277,129
1072,trials,277,1664
1073,comfort,277,264
1074,fears,277,566
1075,struggles,277,974
1076,heartbreak,277,51
1077,struggling,277,153
1078,grows,277,151
1079,conflict,277,78
1080,difficult,277,566
1081,experienced,277,85
1082,intended,277,87
1083,problems,277,798
1084,prepared,277,215
1085,react,277,54
1086,journey,277,309
1087,experiences,277,270
1088,purpose,277,369
1089,destined,277,39
1090,infinite,277,62
1091,accepting,277,83
1092,opportunity,277,452
1093,inspiration,277,241
1094,life's,277,440
1095,obstacles,277,1232
1096,stronger,277,1130
1097,instrument,277,90
1098,daily,277,455
1099,odds,277,110
1100,failures,277,146
1101,days,278,8744
1102,yikes,278,367
1103,school's,278,72
1104,yippee,278,284
1105,dreading,278,76
1106,yay,278,1478
1107,craziness,278,209
1108,till,278,2099
1109,weeks,278,4702
1110,holiday,278,1087
1111,week,278,17304
1112,untill,278,152
1113,schedule,278,538
1114,holidays,278,1076
1115,hectic,278,431
1116,half,278,709
1117,stressful,278,476
1118,school,278,5477
1119,work,278,5710
1120,wednesday,278,592
1121,yipee,278,137
1122,starting,278,2412
1123,surrounded,279,94
1124,decides,279,77
1125,discover,279,122
1126,village,279,210
1127,soy,279,71
1128,utter,279,84
1129,total,279,2040
1130,thinks,279,1568
1131,absolute,279,328
1132,sounding,279,50
1133,pathetic,279,356
1134,idiot,279,6660
1135,winner,279,1300
1136,acting,279,223
1137,crush,279,325
1138,idiots,279,1497
1139,winners,279,593
1140,dumbass,279,610
1141,bigger,279,391
1142,moron,279,870
1143,asshole,279,1149
1144,bunch,279,634
1145,prick,279,110
1146,complete,279,2986
1147,jerk,279,1333
1148,tool,279,73
1149,biggest,279,5435
1150,improved,279,33
1151,badass,279,87
1152,invented,279,164
1153,dork,279,306
1154,retard,279,631
1155,jackass,279,245
1156,douche,279,290
1157,loser,279,6172
1158,losers,279,1699
1159,disappointment,279,102
1160,proof,279,133
1161,xa,1780,372598
1162,xd,1780,1081725
1163,rainy,1781,1144
1164,nights,1781,494
1165,couple,1781,10094
1166,reminded,1781,202
1167,days,1781,39323
1168,past,1781,6232
1169,rough,1781,255
1170,mat,108,172
1171,hunter,108,3989
1172,demon,108,392
1173,knocked,108,288
1174,feels,108,9175
1175,unreal,108,33
1176,gran,108,1371
1177,ahhh,108,1644
1178,thompson,108,349
1179,refreshing,108,161
1180,xa,109,185683
1181,el,102,13983
1182,en,102,12789
1183,bueno,102,455
1184,ser,102,1896
1185,este,102,1125
1186,muy,102,624
1187,ir,102,562
1188,por,102,5425
1189,al,102,2621
1190,mundo,102,869
1191,mucho,102,405
1192,va,102,762
1193,estoy,102,777
1194,tengo,102,787
1195,dar,102,226
1196,soy,102,494
1197,tan,102,715
1198,todo,102,1437
1199,es,102,7401
1200,esta,102,1275
1201,pr,102,268
1202,sue,102,557
1203,est,102,1801
1204,ver,102,1094
1205,dice,102,387
1206,han,102,360
1207,la,102,16451
1208,favor,102,488
1209,vida,102,1287
1210,tu,102,1454
1211,pero,102,2038
1212,los,102,6852
1213,bien,102,595
1214,feliz,102,460
1215,mil,102,112
1216,mis,102,834
1217,nos,102,1230
1218,fin,102,498
1219,sin,102,978
1220,todos,102,1483
1221,hoy,102,1419
1222,solo,102,772
1223,mas,102,1098
1224,chile,102,69
1225,deja,102,108
1226,para,102,5453
1227,era,102,404
1228,nada,102,630
1229,de,102,26417
1230,fiesta,102,115
1231,quiero,102,557
1232,sino,102,390
1233,le,102,1346
1234,familia,102,121
1235,como,102,2414
1236,dos,102,472
1237,amigos,102,628
1238,mal,102,318
1239,las,102,4603
1240,ella,102,226
1241,te,102,933
1242,casa,102,368
1243,gracias,102,452
1244,mi,102,3189
1245,su,102,2371
1246,una,102,4335
1247,si,102,2962
1248,les,102,656
1249,del,102,3855
1250,hay,102,1391
1251,gran,102,309
1252,ana,102,1062
1253,amor,102,646
1254,uno,102,772
1255,os,102,1530
1256,se,102,6380
1257,con,102,4427
1258,upper,103,394
1259,blade,103,55
1260,nerve,103,380
1261,move,103,1798
1262,popped,103,146
1263,shoulders,103,637
1264,stabbed,103,87
1265,uncomfortable,103,78
1266,sharp,103,131
1267,stomach,103,352
1268,arm,103,1418
1269,popping,103,49
1270,headaches,103,88
1271,aches,103,513
1272,killin,103,244
1273,stretch,103,67
1274,jaw,103,202
1275,sunburnt,103,124
1276,chest,103,1303
1277,pains,103,982
1278,legs,103,554
1279,brace,103,172
1280,painful,103,431
1281,body,103,2584
1282,jacked,103,35
1283,head,103,3195
1284,muscles,103,701
1285,pain,103,4164
1286,aching,103,549
1287,rub,103,268
1288,ouch,103,581
1289,killing,103,1352
1290,sore,103,2173
1291,hurting,103,1281
1292,hurts,103,5460
1293,ache,103,285
1294,sunburn,103,279
1295,hurt,103,2108
1296,waist,103,111
1297,shoulder,103,2384
1298,lower,103,695
1299,sunburned,103,89
1300,neck,103,6823
1301,stiff,103,940
1302,spine,103,206
1303,pinch,103,66
1304,ribs,103,187
1305,barely,103,525
1306,severe,103,81
1307,hips,103,99
1308,agony,103,68
1309,ow,103,348
1310,wrist,103,125
1311,muscle,103,1553
1312,pulled,103,777
1313,massage,103,1166
1314,nest,100,93
1315,tattoo,100,826
1316,evolution,100,140
1317,ball,100,1625
1318,magic,100,445
1319,wreck,100,179
1320,demo,100,122
1321,age,100,5407
1322,frost,100,35
